EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.99647,74.9453633,39,762099,1.71623E+12,1.71626E+12
EQPT-4,12.9967233,74.9451883,37,762133,1.71623E+12,1.71626E+12
EQPT-4,12.9968949,74.9449883,30,762173,1.71623E+12,1.71626E+12
EQPT-4,12.9968933,74.9448933,31,762184,1.71623E+12,1.71626E+12
EQPT-4,12.9969216,74.9447483,28,762191,1.71623E+12,1.71626E+12
EQPT-4,12.996975,74.94448,28,762229,1.71623E+12,1.71626E+12
EQPT-4,12.9970733,74.9444216,23,762244,1.71623E+12,1.71626E+12
EQPT-4,12.9971683,74.9444333,18,762255,1.71623E+12,1.71626E+12
EQPT-4,12.9972216,74.9444916,20,762264,1.71623E+12,1.71626E+12
EQPT-4,12.9972616,74.944535,22,762287,1.71623E+12,1.71626E+12
EQPT-4,12.9973499,74.9446533,27,762287,1.71623E+12,1.71626E+12
EQPT-4,12.9976199,74.9451666,32,762350,1.71623E+12,1.71626E+12
EQPT-4,12.9979683,74.9455883,32,762410,1.71623E+12,1.71626E+12
EQPT-4,12.9981066,74.9456833,33,762449,1.71623E+12,1.71626E+12
EQPT-4,12.9988933,74.9461866,41,762532,1.71623E+12,1.71626E+12
EQPT-4,12.9991916,74.9465066,36,762581,1.71623E+12,1.71626E+12
EQPT-4,12.9993433,74.9466099,37,762601,1.71623E+12,1.71626E+12
EQPT-4,13.0002766,74.9469816,44,762712,1.71623E+12,1.71626E+12
EQPT-4,13.001205,74.9472233,40,762819,1.71623E+12,1.71626E+12
EQPT-4,13.0016033,74.9473516,35,762865,1.71623E+12,1.71626E+12
EQPT-4,13.0025683,74.947485,32,762974,1.71623E+12,1.71626E+12
EQPT-4,13.0027333,74.9474633,29,762992,1.71623E+12,1.71626E+12
EQPT-4,13.002895,74.9473983,32,763012,1.71623E+12,1.71626E+12
EQPT-4,13.0037683,74.94711,42,763114,1.71623E+12,1.71626E+12
EQPT-4,13.004705,74.9468533,41,763222,1.71623E+12,1.71626E+12
EQPT-4,13.0055583,74.94672,41,763318,1.71623E+12,1.71626E+12
EQPT-4,13.006025,74.9466416,32,763371,1.71623E+12,1.71626E+12
EQPT-4,13.0060933,74.9465966,32,763388,1.71623E+12,1.71626E+12
EQPT-4,13.00633,74.9463816,33,763415,1.71623E+12,1.71626E+12
EQPT-4,13.0067683,74.9459933,35,763480,1.71623E+12,1.71626E+12
EQPT-4,13.0069016,74.9458933,27,763498,1.71623E+12,1.71626E+12
EQPT-4,13.0070066,74.945785,11,763515,1.71623E+12,1.71626E+12
EQPT-4,13.0070883,74.9456316,20,763534,1.71623E+12,1.71626E+12
EQPT-4,13.00732,74.9451983,23,763587,1.71623E+12,1.71626E+12
EQPT-4,13.0073816,74.945015,22,763608,1.71623E+12,1.71626E+12
EQPT-4,13.007545,74.9440433,32,763716,1.71623E+12,1.71626E+12
EQPT-4,13.0077316,74.9435999,28,763768,1.71623E+12,1.71626E+12
EQPT-4,13.0078649,74.9434249,31,763792,1.71623E+12,1.71626E+12
EQPT-4,13.008315,74.9428949,24,763869,1.71623E+12,1.71626E+12
EQPT-4,13.0084983,74.9424733,13,763919,1.71623E+12,1.71626E+12
EQPT-4,13.00851,74.9424283,16,763937,1.71623E+12,1.71626E+12
EQPT-4,13.0086516,74.9419616,26,763977,1.71623E+12,1.71626E+12
EQPT-4,13.008725,74.9418516,23,763991,1.71623E+12,1.71626E+12
EQPT-4,13.0088083,74.9417633,23,764005,1.71623E+12,1.71626E+12
EQPT-4,13.0089233,74.9417316,25,764025,1.71623E+12,1.71626E+12
EQPT-4,13.009495,74.9415816,26,764084,1.71623E+12,1.71626E+12
EQPT-4,13.0100566,74.94156,29,764147,1.71623E+12,1.71626E+12
EQPT-4,13.0104883,74.94142,30,764197,1.71623E+12,1.71626E+12
EQPT-4,13.010625,74.941335,32,764215,1.71623E+12,1.71626E+12
EQPT-4,13.0108266,74.9411499,35,764245,1.71623E+12,1.71626E+12
EQPT-4,13.0114133,74.9404483,39,764346,1.71623E+12,1.71626E+12
EQPT-4,13.0115916,74.9402999,29,764371,1.71623E+12,1.71626E+12
EQPT-4,13.0116633,74.94024,19,764381,1.71623E+12,1.71626E+12
EQPT-4,13.0117466,74.9401833,23,764392,1.71623E+12,1.71626E+12
EQPT-4,13.0119383,74.9400883,30,764416,1.71623E+12,1.71626E+12
EQPT-4,13.012615,74.9398433,35,764496,1.71623E+12,1.71626E+12
EQPT-4,13.0131249,74.9397533,31,764554,1.71623E+12,1.71626E+12
EQPT-4,13.01333,74.9397866,29,764577,1.71623E+12,1.71626E+12
EQPT-4,13.0134466,74.9398583,28,764592,1.71623E+12,1.71626E+12
EQPT-4,13.0142283,74.94035,32,764694,1.71623E+12,1.71626E+12
EQPT-4,13.0148783,74.9406216,32,764773,1.71623E+12,1.71626E+12
EQPT-4,13.0153633,74.94072,33,764828,1.71623E+12,1.71626E+12
EQPT-4,13.0155549,74.9406983,37,764869,1.71623E+12,1.71626E+12
EQPT-4,13.0157266,74.9406416,38,764869,1.71623E+12,1.71626E+12
EQPT-4,13.0158916,74.940485,39,764880,1.71623E+12,1.71626E+12
EQPT-4,13.0159916,74.9403133,35,764905,1.71623E+12,1.71626E+12
EQPT-4,13.0161566,74.9400549,28,764943,1.71623E+12,1.71626E+12
EQPT-4,13.0161933,74.93982,28,764968,1.71623E+12,1.71626E+12
EQPT-4,13.016145,74.93962,24,764993,1.71623E+12,1.71626E+12
EQPT-4,13.0160999,74.9395766,22,765012,1.71623E+12,1.71626E+12
EQPT-4,13.01601,74.9393566,14,765034,1.71623E+12,1.71626E+12
EQPT-4,13.0160399,74.93934,11,765037,1.71623E+12,1.71626E+12
EQPT-4,13.0160999,74.9393383,13,765037,1.71623E+12,1.71626E+12
EQPT-4,13.0161566,74.9393383,16,765050,1.71623E+12,1.71626E+12
EQPT-4,13.0163249,74.9393333,26,765069,1.71623E+12,1.71626E+12
EQPT-4,13.0166466,74.93933,36,765105,1.71623E+12,1.71626E+12
EQPT-4,13.0172883,74.93929,43,765165,1.71623E+12,1.71626E+12
EQPT-4,13.0174866,74.939225,41,765189,1.71623E+12,1.71626E+12
EQPT-4,13.01766,74.9391183,40,765222,1.71623E+12,1.71626E+12
EQPT-4,13.0179383,74.9389833,41,765257,1.71623E+12,1.71626E+12
EQPT-4,13.0182416,74.9389133,39,765291,1.71623E+12,1.71626E+12
EQPT-4,13.0184399,74.9389183,39,765313,1.71623E+12,1.71626E+12
EQPT-4,13.0185316,74.9389716,42,765325,1.71623E+12,1.71626E+12
EQPT-4,13.0194133,74.9393533,46,765432,1.71623E+12,1.71626E+12
EQPT-4,13.0203466,74.9396583,40,765541,1.71623E+12,1.71626E+12
EQPT-4,13.0212133,74.9399983,35,765645,1.71623E+12,1.71626E+12
EQPT-4,13.0215349,74.9401499,31,765684,1.71623E+12,1.71626E+12
EQPT-4,13.0223716,74.9403966,41,765781,1.71623E+12,1.71626E+12
EQPT-4,13.0229983,74.9405683,41,765853,1.71623E+12,1.71626E+12
EQPT-4,13.0232216,74.9405516,42,765878,1.71623E+12,1.71626E+12
EQPT-4,13.0237266,74.9404333,40,765936,1.71623E+12,1.71626E+12
EQPT-4,13.0238933,74.9403416,42,765983,1.71623E+12,1.71626E+12
EQPT-4,13.0241483,74.9401133,45,765995,1.71623E+12,1.71626E+12
EQPT-4,13.0247499,74.9393716,40,766099,1.71623E+12,1.71626E+12
EQPT-4,13.0250466,74.939115,38,766143,1.71623E+12,1.71626E+12
EQPT-4,13.02514,74.9390816,38,766154,1.71623E+12,1.71626E+12
EQPT-4,13.0253316,74.9390533,39,766175,1.71623E+12,1.71626E+12
EQPT-4,13.0254316,74.9390633,38,766199,1.71623E+12,1.71626E+12
EQPT-4,13.0263949,74.939225,39,766295,1.71623E+12,1.71626E+12
EQPT-4,13.0272549,74.9395333,42,766396,1.71623E+12,1.71626E+12
EQPT-4,13.0275916,74.9396549,29,766442,1.71623E+12,1.71626E+12
EQPT-4,13.0276783,74.9396883,18,766446,1.71623E+12,1.71626E+12
EQPT-4,13.0276916,74.9396916,7,766449,1.71623E+12,1.71626E+12
EQPT-4,13.0277366,74.939725,6,766454,1.71623E+12,1.71626E+12
EQPT-4,13.0277566,74.9397366,10,766457,1.71623E+12,1.71626E+12
EQPT-4,13.0277816,74.9397533,13,766460,1.71623E+12,1.71626E+12
EQPT-4,13.0279949,74.9398849,25,766488,1.71623E+12,1.71626E+12
EQPT-4,13.0282016,74.9399383,27,766519,1.71623E+12,1.71626E+12
EQPT-4,13.0283616,74.9399683,17,766530,1.71623E+12,1.71626E+12
